LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,HUR,TOT,PC_LF,M,2010-11,5.109102,
AUS,HUR,TOT,PC_LF,M,2010-12,4.878179,
AUS,HUR,TOT,PC_LF,M,2011-01,5.00418,
AUS,HUR,TOT,PC_LF,M,2011-02,4.978266,
AUS,HUR,TOT,PC_LF,M,2011-03,4.927809,
AUS,HUR,TOT,PC_LF,M,2011-04,4.960418,
AUS,HUR,TOT,PC_LF,M,2011-05,5.01334,
AUS,HUR,TOT,PC_LF,M,2011-06,4.915062,
AUS,HUR,TOT,PC_LF,M,2011-07,5.094185,
AUS,HUR,TOT,PC_LF,M,2011-08,5.270551,
AUS,HUR,TOT,PC_LF,M,2011-09,5.219069,
AUS,HUR,TOT,PC_LF,M,2011-10,5.189953,
AUS,HUR,TOT,PC_LF,M,2011-11,5.230527,
AUS,HUR,TOT,PC_LF,M,2011-12,5.199093,
AUS,HUR,TOT,PC_LF,M,2012-01,5.048141,
AUS,HUR,TOT,PC_LF,M,2012-02,5.202077,
AUS,HUR,TOT,PC_LF,M,2012-03,5.185261,
AUS,HUR,TOT,PC_LF,M,2012-04,4.995734,
AUS,HUR,TOT,PC_LF,M,2012-05,5.200192,
AUS,HUR,TOT,PC_LF,M,2012-06,5.159878,
AUS,HUR,TOT,PC_LF,M,2012-07,5.182952,
AUS,HUR,TOT,PC_LF,M,2012-08,5.154801,
AUS,HUR,TOT,PC_LF,M,2012-09,5.482411,
AUS,HUR,TOT,PC_LF,M,2012-10,5.413185,
AUS,HUR,TOT,PC_LF,M,2012-11,5.256284,
AUS,HUR,TOT,PC_LF,M,2012-12,5.435501,
AUS,HUR,TOT,PC_LF,M,2013-01,5.390453,
AUS,HUR,TOT,PC_LF,M,2013-02,5.410675,
AUS,HUR,TOT,PC_LF,M,2013-03,5.64447,
AUS,HUR,TOT,PC_LF,M,2013-04,5.590552,
AUS,HUR,TOT,PC_LF,M,2013-05,5.610126,
AUS,HUR,TOT,PC_LF,M,2013-06,5.689666,
AUS,HUR,TOT,PC_LF,M,2013-07,5.634674,
AUS,HUR,TOT,PC_LF,M,2013-08,5.838285,
AUS,HUR,TOT,PC_LF,M,2013-09,5.695109,
AUS,HUR,TOT,PC_LF,M,2013-10,5.825334,
AUS,HUR,TOT,PC_LF,M,2013-11,5.796578,
AUS,HUR,TOT,PC_LF,M,2013-12,5.90414,
AUS,HUR,TOT,PC_LF,M,2014-01,5.944219,
AUS,HUR,TOT,PC_LF,M,2014-02,5.895029,
AUS,HUR,TOT,PC_LF,M,2014-03,5.882296,
AUS,HUR,TOT,PC_LF,M,2014-04,5.809099,
AUS,HUR,TOT,PC_LF,M,2014-05,5.930977,
AUS,HUR,TOT,PC_LF,M,2014-06,6.036907,
AUS,HUR,TOT,PC_LF,M,2014-07,6.158658,
